# Frequency[MHz],ampNF Ch0 [dB],ampNF Ch1 [dB],ampNF Ch2 [dB],ampNF Ch3 [dB],ampNF Ch4 [dB],ampNF Ch5 [dB],ampNF Ch6 [dB],ampNF Ch7 [dB],ampNF Ch8 [dB],ampNF Ch9 [dB],ampNF Ch10 [dB],ampNF Ch11 [dB],ampNF Ch12 [dB],ampNF Ch13 [dB],ampNF Ch14 [dB],ampNF Ch15 [dB]
202.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204.409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206.413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210.421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216.433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218.437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222.445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224.449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234.469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236.473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238.477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240.481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246.493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248.497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254.509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256.513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258.517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264.529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268.537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270.541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278.557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280.561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282.565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286.573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288.577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290.581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292.585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294.589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296.593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298.597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306.613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308.617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310.621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314.629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316.633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318.637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320.641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322.645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326.653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328.657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330.661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332.665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334.669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336.673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338.677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340.681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346.693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348.697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354.709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356.713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358.717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364.729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
